sample_order,visible_date,play_count_text,bvid,analyst_topic_code,title
1,08-25,580.2万,BV1AxhK6BE2j,creator_workplace,员工要陪老板演戏吗？我真去影视飓风上班了...
2,08-19,118.9万,BV1Ypbi6NEXh,marketplace_event,全站最图一乐的UP主出闲置，清仓骨折价！
3,08-12,154.7万,BV1BkgG6bEUC,travel_geography,全球人均GDP最高的国家！探秘真实卢森堡！
4,08-07,269.0万,BV1rkuH6xEBu,culture_experience,"门票上万一年只开6天？探秘音乐节版""迪士尼""乐园！"
5,07-28,189.0万,BV1XL3F6HEZa,technology_photography,带百万级的相机拍漫展？挑战BW最高画质！
6,07-23,215.4万,BV1Pxgy68Ek9,finance,100天亏掉40%？理财大赛S2结果公布！
7,07-20,121.1万,BV16AK26EEiF,finance,100天理财王冠军竟然是TA?【大制作宣传片】
8,07-12,182.8万,BV15tMg6VETK,consumer_products,乐高积木鞋？大力神杯酒？开箱各种离谱联名产品！
9,07-06,224.8万,BV1G6TQ6pEEM,lifestyle_automotive,440万粉丝什锦区UP主开什么车？LKs爱车曝光！
10,06-28,438.2万,BV1Nr7a6jEE5,consumer_products,探秘上万块的顶级八音盒！到底能有多好听?【图一乐】
11,06-22,314.6万,BV1c7j86wE3f,technology_making,240天，我们用3D打印装修了一整套房子...
12,06-12,133.1万,BV18sEi6qEoX,ai_music,让AI推荐它们觉得好听的歌！品味能否吊打真人？
13,06-03,266.0万,BV1WgVC6YERr,finance,理财PK两个月，6位UP主已经彻底疯狂...【理财王5月战绩汇报】
14,05-25,103.7万,BV1nSGH6aEtU,technology_photography,买了博主同款设备，为什么拍的还是不好看?【Pocket 4P体验】
15,05-15,112.8万,BV1aN5d67EKt,interview_culture,LKs对话作家紫金陈：未来10年要写十几本书？
16,05-06,224.7万,BV1C7RCBwEcA,finance,开赛第一天就-32%？100天理财大赛中期复盘！
17,05-01,114.0万,BV1Lm9eBoE15,technology_photography,"摄影界的""诺贝尔奖""！2026哈苏大师决赛作品啥水平？"
18,04-25,248.4万,BV1cbojBoEZM,creator_workplace,在造价上亿的大楼当楼长！每天都要干什么？
19,04-18,607.9万,BV1BTdzBjE1P,travel_hospitality,探秘全国最贵酒店！一晚上万睡在胡同里？
20,04-11,306.3万,BV1ACQABGEGq,travel_hospitality,200元VS7000元!香港最便宜和全球第一酒店差别有多大?
21,04-07,258.7万,BV1nxSZBsEMp,finance,6位UP主100天理财挑战！谁将成为最强理财王？
22,04-02,227.8万,BV1ni9nBoE3L,travel_food,香港最平价vs最高档餐厅！吃一顿要多少钱？
23,03-25,109.7万,BV1NFQzB7EVm,careers_data,我分析了求职APP的内部数据！原来应该这么用？
24,03-10,146.3万,BV1XxPSzpE3b,consumer_products,水母标本？感应门音箱？分享我最近买的怪东西..
25,03-01,250.5万,BV18mAkzwE9E,consumer_products,盲品100块到22万的茅台！纯萌新能喝出区别吗？
